catchment,network,year,mmwr_year,mmwr_week,age_category,sex,race,cumulative_rate,weekly_rate,derived_date
Colorado,EIP,2020-21,2020,28,0-4 yr,Overall,Overall,17.9,0.6,2020-07-08
California,EIP,2020-21,2020,28,0-4 yr,Overall,Overall,6.5,1,2020-07-08
Oregon,EIP,2020-21,2020,28,0-4 yr,Overall,Overall,4.1,1,2020-07-08
Ohio,IHSP,2020-21,2020,28,0-4 yr,Overall,Overall,8.6,0,2020-07-08
New York,EIP,2020-21,2020,28,0-4 yr,Overall,Overall,3.6,0,2020-07-08
New Mexico,EIP,2020-21,2020,28,0-4 yr,Overall,Overall,7,0,2020-07-08
Minnesota,EIP,2020-21,2020,28,0-4 yr,Overall,Overall,12.6,1,2020-07-08
Michigan,IHSP,2020-21,2020,28,0-4 yr,Overall,Overall,4.4,0,2020-07-08
Maryland,EIP,2020-21,2020,28,0-4 yr,Overall,Overall,16.3,0.8,2020-07-08
Georgia,EIP,2020-21,2020,29,0-4 yr,Overall,Overall,9.8,1.1,2020-07-15
Connecticut,EIP,2020-21,2020,29,0-4 yr,Overall,Overall,6,0,2020-07-15
California,EIP,2020-21,2020,29,0-4 yr,Overall,Overall,7,0.5,2020-07-15
Colorado,EIP,2020-21,2020,29,0-4 yr,Overall,Overall,18.5,0.6,2020-07-15
Ohio,IHSP,2020-21,2020,29,0-4 yr,Overall,Overall,8.6,0,2020-07-15
New York,EIP,2020-21,2020,29,0-4 yr,Overall,Overall,4.4,0.9,2020-07-15
Oregon,EIP,2020-21,2020,29,0-4 yr,Overall,Overall,5.1,1,2020-07-15
Iowa,IHSP,2020-21,2020,29,0-4 yr,Overall,Overall,24.3,0,2020-07-15
Tennessee,EIP,2020-21,2020,29,0-4 yr,Overall,Overall,12.5,0.9,2020-07-15
Utah,IHSP,2020-21,2020,29,0-4 yr,Overall,Overall,4.8,0,2020-07-15
Michigan,IHSP,2020-21,2020,29,0-4 yr,Overall,Overall,4.4,0,2020-07-15
Maryland,EIP,2020-21,2020,29,0-4 yr,Overall,Overall,17.4,1.1,2020-07-15
New Mexico,EIP,2020-21,2020,29,0-4 yr,Overall,Overall,7,0,2020-07-15
Minnesota,EIP,2020-21,2020,29,0-4 yr,Overall,Overall,14.1,1.5,2020-07-15
Tennessee,EIP,2020-21,2020,30,0-4 yr,Overall,Overall,12.5,0,2020-07-22
Iowa,IHSP,2020-21,2020,30,0-4 yr,Overall,Overall,24.3,0,2020-07-22
Utah,IHSP,2020-21,2020,30,0-4 yr,Overall,Overall,6,1.2,2020-07-22
Maryland,EIP,2020-21,2020,30,0-4 yr,Overall,Overall,19.6,2.2,2020-07-22
New York,EIP,2020-21,2020,30,0-4 yr,Overall,Overall,4.4,0,2020-07-22
New Mexico,EIP,2020-21,2020,30,0-4 yr,Overall,Overall,7,0,2020-07-22
Minnesota,EIP,2020-21,2020,30,0-4 yr,Overall,Overall,16.6,2.5,2020-07-22
Michigan,IHSP,2020-21,2020,30,0-4 yr,Overall,Overall,4.4,0,2020-07-22
Georgia,EIP,2020-21,2020,30,0-4 yr,Overall,Overall,11,1.1,2020-07-22
Connecticut,EIP,2020-21,2020,30,0-4 yr,Overall,Overall,6,0,2020-07-22
Colorado,EIP,2020-21,2020,30,0-4 yr,Overall,Overall,18.5,0,2020-07-22
California,EIP,2020-21,2020,30,0-4 yr,Overall,Overall,9.1,2,2020-07-22
